key,code,description,unit,unit_price
graphite_5,897-06-05.01,"Πλάκες θερμομόνωσης (Γραφιτούχα, 5 cm)",m²,5.0
graphite_7,897-06-07 3,"Πλάκες θερμομόνωσης (Γραφιτούχα, 7 cm)",m²,7.0
graphite_10,897-06-10 3,"Πλάκες θερμομόνωσης (Γραφιτούχα, 10 cm)",m²,10.0
glue,896-0201774,Κόλλα Vitex GNK 20 easy,σακί,8.8
mesh,899-ΥΑΛ-160,Υαλόπλεγμα,ρολό,36.0
plug_5,99-ΒΘ-10-120/1,Βύσματα θερμομόνωσης,κουτί,35.0
plug_7,99-ΒΘ-10-140/1,Βύσματα θερμομόνωσης,κουτί,35.0
plug_10,99-ΒΘ-10-160/1,Βύσματα θερμομόνωσης,κουτί,35.0
primer_10,899-2000732,Αστάρι Vitex Granikot Primer 10L,τεμ.,35.0
primer_3,899-2000731,Αστάρι Vitex Granikot Primer 3L,τεμ.,10.5
paste,896-2000735,Πάστα Granikot,κουβάς,33.0
